home,score,away,date,location,home_gols,away_gols
Czechoslovakia ,3–1, Yugoslavia,13 June 1962,"Estadio Sausalito, Viña del Mar","[""Kadraba  48'Scherer  80', 84'(pen.)""]","[""Jerković  69'""]"
Brazil ,4–2, Chile,13 June 1962,"Estadio Nacional, Santiago","[""Garrincha  9', 32'Vavá  47', 78'""]","[""Toro  42'L. Sánchez  61'(pen.)""]"
Chile ,1–0, Yugoslavia,16 June 1962,"Estadio Nacional, Santiago","[""Rojas  90'""]",[]
Brazil ,3–1, Czechoslovakia,17 June 1962,"Estadio Nacional, Santiago","[""Amarildo  17'Zito  69'Vavá  78'""]","[""Masopust  15'""]"
England ,0–0, Uruguay,11 July 1966,"Wembley Stadium, London",[],[]
France ,1–1, Mexico,13 July 1966,"Wembley Stadium, London","[""Hausser  62'""]","[""Borja  48'""]"
Uruguay ,2–1, France,15 July 1966,"White City Stadium, London","[""Rocha  26'Cortés  31'""]","[""De Bourgoing  15'(pen.)""]"
England ,2–0, Mexico,16 July 1966,"Wembley Stadium, London","[""B. Charlton  37'Hunt  75'""]",[]
Mexico ,0–0, Uruguay,19 July 1966,"Wembley Stadium, London",[],[]
England ,2–0, France,20 July 1966,"Wembley Stadium, London","[""Hunt  38', 75'""]",[]
West Germany ,5–0, Switzerland,12 July 1966,"Hillsborough Stadium, Sheffield","[""Held  16'Haller  21', 77'(pen.)Beckenbauer  40', 52'""]",[]
Argentina ,2–1, Spain,13 July 1966,"Villa Park, Birmingham","[""Artime  65', 79'""]","[""Pirri  71'""]"
Spain ,2–1, Switzerland,15 July 1966,"Hillsborough Stadium, Sheffield","[""Sanchís  57'Amancio  75'""]","[""Quentin  31'""]"
Argentina ,0–0, West Germany,16 July 1966,"Villa Park, Birmingham",[],[]
Argentina ,2–0, Switzerland,19 July 1966,"Hillsborough Stadium, Sheffield","[""Artime  52'Onega  79'""]",[]
West Germany ,2–1, Spain,20 July 1966,"Villa Park, Birmingham","[""Emmerich  39'Seeler  84'""]","[""Fusté  23'""]"
Brazil ,2–0, Bulgaria,12 July 1966,"Goodison Park, Liverpool","[""Pelé  15'Garrincha  63'""]",[]
Portugal ,3–1, Hungary,13 July 1966,"Old Trafford, Manchester","[""José Augusto  2', 67'Torres  90'""]","[""Bene  60'""]"
